+--------------+-----------------+-------------+-------------+--------------------+---------+
| household_id | building_number | unit_number | room_number | parmanent_resident | user_id |
+--------------+-----------------+-------------+-------------+--------------------+---------+
|            1 |               1 |           1 |         101 |                  4 | NULL    |
|            2 |               1 |           1 |         102 |                  4 | NULL    |
|            3 |               1 |           1 |         103 |                  3 | NULL    |
|            4 |               1 |           1 |         201 |                  1 | NULL    |
|            5 |               1 |           1 |         202 |                  4 | NULL    |
|            6 |               1 |           1 |         203 |                  5 | NULL    |
|            7 |               1 |           1 |         301 |                  3 | NULL    |
|            8 |               1 |           1 |         302 |                  4 | NULL    |
|            9 |               1 |           1 |         303 |                  4 | NULL    |
|           10 |               1 |           1 |         401 |                  3 | NULL    |
|           11 |               1 |           1 |         402 |                  5 | NULL    |
|           12 |               1 |           1 |         403 |                  2 | NULL    |
|           13 |               1 |           1 |         501 |                  4 | NULL    |
|           14 |               1 |           1 |         502 |                  2 | NULL    |
|           15 |               1 |           1 |         503 |                  5 | NULL    |
|           16 |               1 |           2 |         101 |                  3 | NULL    |
|           17 |               1 |           2 |         102 |                  3 | NULL    |
|           18 |               1 |           2 |         103 |                  3 | NULL    |
|           19 |               1 |           2 |         201 |                  2 | NULL    |
|           20 |               1 |           2 |         202 |                  4 | NULL    |
|           21 |               1 |           2 |         203 |                  3 | NULL    |
|           22 |               1 |           2 |         301 |                  1 | NULL    |
|           23 |               1 |           2 |         302 |                  5 | NULL    |
|           24 |               1 |           2 |         303 |                  4 | NULL    |
|           25 |               1 |           2 |         401 |                  3 | NULL    |
|           26 |               1 |           2 |         402 |                  2 | NULL    |
|           27 |               1 |           2 |         403 |                  1 | NULL    |
|           28 |               1 |           2 |         501 |                  1 | NULL    |
|           29 |               1 |           2 |         502 |                  1 | NULL    |
|           30 |               1 |           2 |         503 |                  2 | NULL    |
|           31 |               1 |           3 |         101 |                  5 | NULL    |
|           32 |               1 |           3 |         102 |                  5 | NULL    |
|           33 |               1 |           3 |         103 |                  1 | NULL    |
